Date,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2006-04-28,4.5991997718811035,49.247169494628906,22.942689895629883,21.616085052490234,12.862458229064941,36.80230712890625,31.518836975097656,374.2632141113281,21.97761344909668,30.0241756439209,2.1494545936584473,48.6880989074707,12.528013229370117,36.62892532348633,36.25510787963867,17.102619171142578,21.32203483581543,6.102779865264893,13.86176586151123,44.32978057861328
2006-05-31,4.738171100616455,47.43305969238281,25.026899337768555,20.740676879882812,13.496993064880371,38.20513153076172,34.031612396240234,369.3928527832031,21.39922332763672,28.211332321166992,1.8251577615737915,47.41614532470703,11.813185691833496,37.86872863769531,35.18399429321289,16.25678253173828,22.097509384155273,6.067854881286621,13.097957611083984,39.612728118896484
2006-06-30,4.585964679718018,48.42790603637695,24.61661720275879,21.00955581665039,13.28246784210205,38.128726959228516,33.83493423461914,361.525390625,21.628141403198242,27.78789520263672,1.7488168478012085,45.588321685791016,11.718318939208984,37.68008041381836,35.43815612792969,18.043821334838867,22.267873764038086,6.493955612182617,14.054810523986816,40.281803131103516
2006-07-31,4.446174621582031,46.28130340576172,24.362247467041016,22.12881088256836,13.739416122436523,40.24981689453125,31.257097244262695,361.9749755859375,23.324092864990234,30.429277420043945,2.075251579284668,45.9384651184082,12.976530075073242,39.33393478393555,39.1292610168457,19.633771896362305,23.485490798950195,7.095043659210205,14.368103981018066,38.988037109375
2006-08-31,5.57938289642334,43.32953643798828,24.329423904418945,22.447708129882812,13.835126876831055,41.4564094543457,31.530548095703125,373.52410888671875,22.58275032043457,30.455955505371094,2.0718913078308105,48.24276351928711,13.88782024383545,40.896732330322266,39.270179748535156,18.168481826782227,23.444110870361328,7.36474609375,14.945883750915527,39.003273010253906
2006-09-29,5.392735958099365,42.97037124633789,25.363325119018555,24.461118698120117,13.891151428222656,41.63530349731445,34.77384567260742,375.94622802734375,23.512052536010742,31.323081970214844,2.3506879806518555,48.82069396972656,14.29095458984375,41.07381057739258,38.93941879272461,16.73241424560547,23.444110870361328,7.703054904937744,15.77432918548584,32.59808349609375
2006-10-31,5.5193891525268555,39.81930160522461,25.81463050842285,26.2119197845459,14.525396347045898,40.47416687011719,34.745628356933594,379.6549377441406,23.58354949951172,31.87019157409668,2.4758880138397217,55.011146545410156,13.429262161254883,42.62973403930664,41.446388244628906,18.799489974975586,24.535112380981445,8.213549613952637,15.889253616333008,34.51966094970703
2006-11-30,5.419399738311768,40.68507766723633,27.119304656982422,26.883724212646484,14.656932830810547,39.53630065917969,32.503536224365234,379.048828125,23.079254150390625,31.090885162353516,2.798961877822876,54.944610595703125,13.975454330444336,41.92278289794922,44.767547607421875,20.628231048583984,24.763952255249023,8.132015228271484,15.575601577758789,35.77019500732422
2006-12-29,5.0061140060424805,40.22595977783203,28.375059127807617,28.395418167114258,15.101367950439453,40.09376907348633,32.680198669433594,425.75146484375,23.288820266723633,32.44792175292969,2.5907039642333984,58.07078170776367,13.167125701904297,41.99274444580078,44.662654876708984,20.217323303222656,24.686925888061523,8.573267936706543,16.60090446472168,34.5011100769043
2007-01-31,5.419399738311768,42.234580993652344,29.1202392578125,28.408222198486328,14.985566139221191,41.81803512573242,33.74878692626953,421.3946533203125,23.709510803222656,34.45732116699219,2.6178815364837646,59.26627731323242,13.339981079101562,42.488868713378906,43.188072204589844,19.74522590637207,24.794767379760742,9.150763511657715,17.35959243774414,34.46289825439453
2007-02-28,5.272750377655029,42.471893310546875,28.35849380493164,27.9854679107666,14.609989166259766,40.4783821105957,34.18753433227539,388.8193359375,22.904232025146484,33.4154167175293,2.5836808681488037,55.721710205078125,12.827898979187012,40.260372161865234,41.95553207397461,19.91555404663086,25.247507095336914,8.948925018310547,16.854846954345703,34.46289825439453
